06/04/2022 11:54:00.300 - oc_logger - INFO - The optimization direction is minimization
06/04/2022 11:54:00.303 - oc_logger - INFO - QuOCS version number: 0.0.22
06/04/2022 11:54:00.303 - oc_logger - INFO - Direct search start time has been reset.
06/04/2022 11:54:22.105 - oc_logger - INFO - Function evaluation number: 174, SI: 5, Sub-iteration number: 3, FoM: 0.2971150395134394
06/04/2022 11:54:22.228 - oc_logger - INFO - Function evaluation number: 175, SI: 5, Sub-iteration number: 3, FoM: 0.29711482693855795
06/04/2022 11:54:22.349 - oc_logger - INFO - Function evaluation number: 176, SI: 5, Sub-iteration number: 4, FoM: 0.2971149041748091
06/04/2022 11:54:22.479 - oc_logger - INFO - Function evaluation number: 177, SI: 5, Sub-iteration number: 4, FoM: 0.2971148267796935
06/04/2022 11:54:22.608 - oc_logger - INFO - Function evaluation number: 178, SI: 5, Sub-iteration number: 5, FoM: 0.2971147590695662
06/04/2022 11:54:22.715 - oc_logger - INFO - Function evaluation number: 179, SI: 5, Sub-iteration number: 6, FoM: 0.2971148628594098
06/04/2022 11:54:22.824 - oc_logger - INFO - Function evaluation number: 180, SI: 5, Sub-iteration number: 6, FoM: 0.29711478860831875
06/04/2022 11:54:22.948 - oc_logger - INFO - Function evaluation number: 181, SI: 5, Sub-iteration number: 7, FoM: 0.2971148175439573
06/04/2022 11:54:23.064 - oc_logger - INFO - Function evaluation number: 182, SI: 5, Sub-iteration number: 8, FoM: 0.29711487167909145
06/04/2022 11:54:23.191 - oc_logger - INFO - Function evaluation number: 183, SI: 5, Sub-iteration number: 8, FoM: 0.29711478624644827
06/04/2022 11:54:23.313 - oc_logger - INFO - Function evaluation number: 184, SI: 5, Sub-iteration number: 9, FoM: 0.2971148151597742
06/04/2022 11:54:23.433 - oc_logger - INFO - Function evaluation number: 185, SI: 5, Sub-iteration number: 9, FoM: 0.29711478532228286
